venueid|userid|score|time|comment
1|35|5.0|2.0|เป็นตลาดที่ติดกับขอบชายแดนไทย ลาว เราจะพบเห็นแม่น้ำโขงที่กั้นระหว่างไทย และ ลาว บ้านพี่เมืองน้อง มีของขายให้เลือกมากมาย แล้วแวะรับประทานอาหาร ของราคาเป็นกันเอง ไม่แพงมาก แนะนำให้ลองต่อราคาดู
1|36|4.0|2.0|เห็นความตั้งใจของเทศบาลเมืองหนองคายที่จะพัฒนาจุดนี้เป็นสถานที่ท่องเที่ยวเมื่อเปรียบเทียบกับหลายสิบปีก่อนดีใจที่เห็นธงไทยถูกตั้งไว้ที่ท่าเสด็จบรรยากาศและวิวสวยงามมากน่าเสียดายที่ความสะอาดเป็นรองและตอนเย็นที่มีถนนคนเดินดูพลุกพล่านและไม่ค่อยเป …
1|37|5.0|0.1|เป็นสถานที่ขายสินค้าส่งออกและงานฝีมือร่วมอาหารของฝากของดังประจำจังหวัดที่ดีมากครับ
1|38|4.0|2.0|ของขายเยอะดี จุดเด่นคือ ตลาดสะอาด แม่ค้ายิ้มแย้ม  บรรยากาศริมโขงยามเย็นสบายๆ พรมราคาถูกมากซื้อถวายวัดทุกปีเลยค่ะ
1|39|5.0|0.1|ของฝากขนม เสื้อผ้า เครื่องประดับ อาหาร มีให้เลือกมากมาย ตลาดสะอาด ไปเดินค่ะ
1|40|4.0|2.0|"ตลาดริมแม่น้ำโขง ขนาดเดินกำลังเหนื่อย มีของขายเยอะ แต่ก็คล้ายๆกันไปหมด ถ้าใครเคยไปแม่สายที่เชียงราย ก็อารมณ์ประมาณนั้นเลย
ถ้ามาแล้ว แวะไปถ่ายรูปกับป้ายพญานาคสุดเขตหนองคายด้วย สวยดี
ที่จอดรถ จอดที่ไปรษณีย์หนองคายก็ได้ สะดวกดี ค่าจอด 20 บาท"
1|41|5.0|2.0|มีสินค้าหลากหลาย ต้องค่อยๆ เลือกดูเพราะสินค้าชนิดเดียวกันแต่ราคาแตกต่างกันมาก นักท่องเที่ยวมากันค่อนข้างเยอะ มาเที่ยวหนองคายต้องแวะที่นี่เลย รับรองได้ของฝากแน่นอน รวมทั้งได้ถ่ายรูปวิวริมแม่น้ำโขงที่สวยงาม
1|42|4.0|2.0|บรรยากาศดีมาก รมเย็น วิวริมโขง สินค้าเยอะแยะมากมาย ของฝากต่าง ๆ กาแฟอร่อยครับ งานผ้างานไหม มีครบ อยากชวนให้มากันเยอะๆครับ
1|43|4.0|2.0|บ้านเรือนรอบข้างก่อนทางเข้าตลาดทำให้เหมือนได้ย้อนไปช่วงร.5-ร.6แล้วก็ตลาดมีคนมาก็เยอะพอสมควรสินค้าหลากหลายส่วนมากเป็นของประเทศ​เพื่อนบ้านและผลไม้อบแห้งที่ชอบเลยก็คือบ้านเรือนที่ทำให้มีความรู้สึกได้กลิ่นอายสมัยร.5-ร.6และมีที่ถ่ายรูปสวยๆเยอะแยะมากๆแม่น้ำโขงก็สวยมีร้านอาหารที่เป็นแพริมโขงด้วยนะ
1|44|3.0|3.0|เดินทางมาโดยไม่ได้ตั้งใจก็เลยไม่ค่อยได้คาดหวังอะไรมากพ่อมาเดินตลาดจริงๆไม่ค่อยมีอะไรมากแต่ยังพอมีกลิ่นอายแบบเดิมๆของตลาด …
1|45|5.0|1.0|ตลาดค้าปลีก-ส่งสินค้านานาชนิด ทั้งของกินของใช้ของฝาก ราคาไม่แพง
1|46|4.0|0.8|ตลาดท่าเสด็จ หรือ ตลาดอินโดจีน เดิมชื่อ ตลาดท่าเรือ ตั้งอยู่ริมแม่น้ำโขง ในเขตเทศบาลเมืองหนองคาย เป็นแหล่งรวมสินค้าเป็นแหล่งซื้อขายผลิตภัณฑ์จังหวัดหนองคาย เช่น อาหารพื้นเมือง สินค้าโอท๊อป ของที่ระลึก และของเครื่องใช้ต่างๆ
1|47|3.0|0.9|"ร้านค้าน่าจะหายไปเยอะเพราะพิษ covid คนเดินก็น้อยตามไปด้วย

แต่ยังมีจุดเช็คอินให้ถ่ายรูปอยู่"
1|48|5.0|0.1|ครบครันด้วยสินค้า เสื้อผ้า เครื่องสำอางค์ เครื่องประดับ อาหาร สะอาด บริการดีมาก
1|49|3.0|1.0|เป็นตลาดริมแม่น้ำโขงที่มีของขายหลากหลาย ทั้งอาหารและของฝาก เหมาะสำหรับซื้อของฝากและเดินชมวิวยามเย็น บรรยากาศสวยและมีจุดให้ชมวิว
1|50|2.0|0.8|มีสินค้าให้เลือกซื้อมากมาย บรรยากาศริมฝั่งโขงดีมาก นั่งจิบกาแฟฟังเพลงสบายๆริมฝั่งโขง
1|51|4.0|0.2|อาจจะไปไม่ถูกวันรู้สึกว่าช่วงนี้ร้านขายของต่างๆไม่เปิดบ้างเป็นบางร้านครับ
1|52|5.0|0.5|ช่วงวันปกติคนอาจจะดูไม่เยอะแต่เท่าที่เข้าไปเดินดูในตลาด มีสินค้าหลากหลายให้เลือกน้ะโดยเฉพาะคนพื้นที่หนองคายอย่างผมได้มาอุดหนุนที่ตลาดท่าเสด็จแห่งนี้ ส่วนขากลับก็เดินเลาะริมโขง ถ่ายรูปเป็นที่ระลึก และหาที่ทานข้าวช่วงเย็นไปค่ำๆก่อนกลับบ้านได้
1|53|4.0|2.0|ติดแม่น้ำโขงเสื้อผ้าเยอะมากกกกก ราคาย่อมเยาต่อรองได้  เราสายกินมีร้านกาแฟเจ้าดังประจำตลาด รสชาติผ่าน ราคาโอเค
1|54|5.0|3.0|เป็นตลาดแนวยาวติดริมแม่น้ำโขง ตัวเมืองหนองคาย.ไม่ใกลจากบขส. และวัดโพธิ์ชัย(หลวงพ่อพระใส) สามารถเดินมาได้ สินค้าในตลาดส่วนใหญ่เป็นของที่ระลึกหลายๆอย่างผสมปนเปกันไปตั้งแต่เสื้อผ้า ของใช้ทั้งไฟฟ้า เครื่องเงิน เครื่องประดับ เฟอร์นิเจอร์ไม้ …
1|55|5.0|0.5|"ร้านกาแฟ ในตลาดท่าเสด็จ สไตล์เวียดนาม ตามชื่อเลยครับ
เรื่องรสชาติ ไม่ต้องพูดถึง อร่อยทุกอย่าง มิควรพลาดด้วยประการทั้งปวงจ้า"
1|56|2.0|0.4|"ของฝากราคาย่อมเยาว์หาซื้อได้ที่นี่
ผ้าขาวม้าผืนละ 50 บาท กระโปรง ผ้าถุง ราคาประมาณ 100-150 บาท"
1|57|5.0|1.0|เดินตอนกลางคืน มีร้านแดงแหนมเนือง อร่อยมากครับ
1|58|3.0|4.0|ตลาดติดแม่น้ำโขง มีสินค้าให้เลือกซื้อมากมายทั้งของกิน ของใช้ ของฝาก มีมุมถ่ายรูปสวยๆไว้สำหรับนักท่องเที่ยว มาเมืองหนองคายไม่ควรพลาดที่นี่โดยเด็ดขาด
1|59|5.0|0.4|บรรยากาศดีสินค้าราคาไม่แพง
1|60|5.0|2.0|มีทุกอย่างจริงๆ ราคาถูกด้วยนะ หาอะไรลองมาเดินๆดูได้ครับ แต่จะหาที่จอดรถยากหน่อย ไปจอดในไปรษณีย์ได้ มีค่าจอด 30บาท
1|61|2.0|0.3|"อากาศแย่มาก แทบหายใจไม่ออก
ร้านค้ายังเปิดไม่มากนัก แม้จะเป็นช่วงสงกรานต์ นักท่องเที่ยวยังไม่พลุกพล่าน"
1|62|4.0|2.0|บรรยากาศดี อาหารอร่อย เมืองพระยานาค ไหว้พระ ทำบุญ  น่าประทับใจคับ  เชิญมาสัมผัสกันนะคับ
1|63|5.0|3.0|บรรยากาศดี อาหารอร่อย ซื้อของพื้นเมืองได้ ตอนเย็นวันเสาร์มีตลาดนัดริมโขง มีแต่ของน่าซื้อน่ากินไปหมดด  แนะนำเมนูทุเรียนนมสดร้านบ้านกาแฟริมโขง ชอบมากกก =w= b
1|64|3.0|0.4|เนื่องจากสถานะการ โควิด ทำให้มีนักท่องเที่ยวน้อย เลยดูเงียบเหงาแต่สินค้าราคาเดิม
1|65|5.0|2.0|แวะดูสินค้าตลาดอินโดจีนมีหลากหลายของฝากร้านอาหารร้านแหนมเนื่องเดินชมวิวสวยๆข้างแม่น้ำโขงติดประเทศลาว
1|66|3.0|0.1|อากาศร้อน ข้าวของราคาแพง
1|67|5.0|0.3|กลับไปคราวนี้เปลี่ยนแปลงไปเยอะมาก
1|68|4.0|2.0|แหล่งช๊อปสินค้าที่มีของมากมาย อาทิเช่น เสื้อผ้า ของเล่น เครื่องประดับ รองเท้า กระเป๋า อาหารต่างๆ ติดกับริมแม่น้ำโขง ท่าเสด็จ
1|69|5.0|0.1|ร้านเยอะราคาไม่เเพงบรรยากาศดีครับ
1|70|5.0|3.0|มีสินค้าวางจำหน่ายหลากหลาย สถานที่สะอาดกว้างขวาง แม่วิวทิวทัศน์สวยงามน่าชม
1|71|3.0|0.1|ตลาดขายสินค้าของฝากสำหรับนักท่องเที่ยวราคากันเองต่อรองได้
1|72|5.0|0.1|ร้านสะอาดคนขายทั้งสวยและยิ้มน่าร๊ากค่ะ
1|73|5.0|0.2|เป็นกิจกรรมครอบครัวในแต่ละรอบปีแล้วแต่โอกาสและจังหวะที่ได้ไปเที่ยว
1|74|4.0|0.6|ได้เข้าไปซื้อสินค้า ราคาไม่แพงค่ะ  คุณภาพดี ช่วงที่ไป ใกล้5โมงเย็น คนไม่พลุกพล่าน  เพราะใกล้ปิดตลาด  ที่ลานพญานาคก็มีการรำเปิดหมวก และคนถ่ายรูปกัน
1|75|3.0|2.0|เดินดู สินค้า ส่วนมาก จะเหมือนที่กรุงเทพฯ ราคาใกล้เคียงกัน ไม่หลากหลาย วิวแม่น้ำโขง น่าดูกว่า
1|76|3.0|4.0|ตลาดมีของขายเยอะ แต่ไม่แตกต่างจากตลาดอินโดจีนที่อื่นๆ รับลมริมโขงสบายๆ บ่ายๆร้อนหน่อย
1|77|3.0|2.0|มีของใช้ของฝากหลากหลาย ราคาถูก แต่มีให้เลือกไม่เยอะเท่าไหร่ คุณภาพของก็ตามราคา
1|78|5.0|2.0|มีที่ถ่ายรูปสวยๆๆมีของฝากของขึ้นชื่อของหนองคายใ
1|79|5.0|4.0|วันนี้คนไม่คึกคักเท่าไหร่ ของไม่เยอะค่ะ ของถูกค่ะ ราคาถูกกว่าฝั่งลาว เมื่อวานมีถนนคนเดิน มีการแสดงของคนในพื้นที่ ขนม อาหารผักราคาถูก เหมาะกับนักท่องเที่ยว เสียดายน่าจะมีตลาดแบบนี้อาทิตย์ละ 2 วัน มีเสาร์เดียวเองค่ะ  ร้านค้า ที่พัก  home stay ตกแต่งนารักค่ะ มีเยอะเลยราคาไม่โหด คุณภาพตามราคา วัดงดงาม มาเที่ยวนะคะ
1|80|5.0|2.0|คนเยอะ ของเพียบ สินค้าอุปโภคบริโภค ข้าวปลาอาหารงี้ มีทุกสิ่งให้เลือกสรร ส่วนมากของมาจากลาว จากจีน ขายราคาส่งไม่แพง คุณภาพนั้นก็ตาดีได้ตาร้ายเสียก็ละกันครับ ที่จอดรถมีให้เลือกหลาย ทั้งข้างตลาดเอย ข้างวัดเอย
1|81|4.0|2.0|"สินค้าเยอะมาก แต่ราคาไม่ถูก
ก็ราคาทั่วๆไป"
1|82|5.0|2.0|ของให้ช้อปปิ้ง เยอะมากๆ ริมน้ำโขงเป็นระเบียบ สะอาดขึ้นมากๆๆๆ
1|83|5.0|0.1|ส่วนหนึ่งของมุมนั่งชิวๆริมฝั่งโขงของตลาดท่าเสด็จ
1|84|5.0|1.0|เป็นสถานที่​ท่องเที่ยว​และช้อปปิ้ง​ที่ติดแม่น้ำ​โขง​บรรยากาศ​ดีมีจุดให้ถ่ายรูป​หลายจุด
1|85|5.0|3.0|เป็นตลาดอยู่ริมโขงมีของกิน ของใช้ ของฝาก มีวิวที่สวยงาม
1|86|5.0|3.0|เป็นตลาดการค้าที่มีของขายเหมือนๆกันกับที่อื่นๆ...ราคาไม่ถูกนัก..แต่ถ้าผ่านมาก็ลองแวะเดินชมวิวริมโขงนะคะ...ตอนเช้าๆกับเย็นๆอากาศดีค่ะ
1|87|4.0|2.0|"มีสินค้ามากมาย  ให้เลือกซื้อ   ของฝาก
ตลาดท่าเสด็จ หรือ ตลาดอินโดจีน เดิมชื่อ ตลาดท่าเรือ เพราะก่อนที่จะมีการสร้างสะพานมิตรภาพ ไทย-ลาว ประชาชนทั้งสองฝั่งน้ำ จะต้องใช้เรือในการสัญจรไปมา …"
1|88|3.0|0.4|ช่วงนี้โควิดระบาดต้องสวมหน้ากากอนามัยประกอบกับอากาศร้อนเลยทำให้หายใจลำบาก
1|89|4.0|5.0|มีสินค้าหลากหลาย ถ้าคนไม่อยากเดินดูของก็สามารถเดินเล่นริมโขงได้
1|90|4.0|3.0|สวยงาม เย็นสบายอากาศดี มีรถสามล้อบริการดี๊ดีถูกด้วยไม่แพงไม่คิดเพิ่มและแนะนำสถานที่เที่ยวให้ด้วยครับ
1|91|4.0|3.0|ริมโขงสวยไม่เคยเปลี่ยน ท่าเสด็จของขายมากมาย ห่างจากประเทศลาวเพียงแม่น้ำกั้น พี่น้องกันไทย ลาว
1|92|5.0|0.1|สถานที่เที่ยวริมแม่น้ำโขง บรรยากาศดี
1|93|4.0|4.0|"ของฝากหลายสัญชาติ
ราคาไม่แพง
ผู้คนเป็นมิตร มีรอยยิ้มเปื้อนหน้าเสมอ
อากาศดี ลมเย็นสบาย"
1|94|4.0|0.5|ชอบคะ  ของเยาะมาก
1|95|5.0|5.0|สังสรรกับญาติๆ แซบแท้แนวกิน มิตรภาพยังคงเดิม ขอบคุณจ้าวมือวันนี้ แหนมเนืองขึ้นชื่อ
1|96|4.0|1.0|ตลาดชุมชน มีสินค้ามากมาย เช่นขนมท้องถิ่น สินค้าอิเล็กทรอนิกส์ เสื้อผ้า มีอาหารอร่อย ไทย ลาว เวียตนาม มีจุดถ่ายภาพสวยๆริมแม่น้ำโขง
1|97|5.0|0.3|ช่วงนี้คนน้อย​ ไม่ค่อย​พลุกพล่าน​ แต่ร้านค้ายังเยอะเหมือนเดิม
1|98|4.0|3.0|แวะมาหาซื้อขอฝากจากหนองคายได้ที่นี่เลย แล้วอย่าลืมแวะถ่ายรูปคู่กับป้ายพญานาคที่ท่าเสด็จนะคะ
1|99|4.0|3.0|เป็นแหล่งรวมสินค้าอินโดจีน ชมวิวแม่น้ำโขง อาหารพื้นบ้านรสชาดอร่อย...
1|100|4.0|0.7|มีของขายมากมาย ยิ่งกว่าตลาดในกรุงเทพ เสื้อ กางเกง ผ้าถุง ผ้าห่มผ้าเช็ดตัว ถุงเท้า ผ้าขาวม้า ของกิน ของแห้ง ผลไม้สด ผลไม้แห้ง เครื่องดื่ม ชา กาแฟ โอวัลตินขนมปัง ขนมกรอบ สมุนไพร รองเท้า เครื่องใช้ไฟฟ้า เครื่องสำอาง หมวก ของเล่นเด็ก
1|101|5.0|2.0|ของฝากเยอะ ราคาไม่แพง มีทั้งเสื้อผ้า อาหาร และของใช้ ตลาดสะอาด น่าเดิน
1|102|3.0|4.0|"เป็นที่ตลาดเดินเล่นติดริมน้ำโขง...
สินค้าไม่ค่อยหลากหลาย"
1|103|3.0|5.0|บรรยากาศดี มีของให้เลือกซื้อมากมาย แต่บางร้านราคาก็ต่างกันพอสมควร ต้องเดินดูให้ทั่วๆ
1|104|4.0|3.0|สถานที่จัดการสะอาดดีมากสินค้าหลากหลายด้านข้างแม่น้ำมีวิวสวบงาม
1|105|4.0|0.4|เดินเล่นเพลินๆชิวๆคนน้อยดีหลังวันหยุดด้วยมั้ง!
1|106|4.0|1.0|ตลาดขายสินค้าริมแม่น้ำโขง มีสินค้าให้เลือกมากมาย ราคาไม่แพง เหมาะสำหรับนักท่องเที่ยว
1|107|4.0|2.0|ช่วงนี้อากาศจะร้อนมากๆไม่เหมาะกับการมาเที่ยว
1|108|5.0|0.3|ของกินของใช้เยอะมาก... แต่ตอนนี้ตลาดค่อนข้างเงียบ
1|109|5.0|0.2|คนไม่ค่อยเยอะ ดูสินค้าเพลิน แวะไปกินแดงแหนมเนือง
1|110|3.0|1.0|มีของหลากหลายเดินสบายคนน้อย
1|111|5.0|0.2|ริมโขงวิวสวย ตลาด.ดีมีของน่าซื้อ  สะอาดดี
1|112|3.0|0.2|สินค้าจะเหมือนสินค้าในห้างมากกว่าไม่เหมือนสมัยก่อนๆค่ะ
1|113|4.0|3.0|ตลาดเฉยๆ แต่เดินออกมาตรงริมโขง คืออากาศดีมากตอนเย็นๆ สวย ชอบ
1|114|4.0|1.0|ก็ไม่ค่อยมีไรมาก ร้านปิดเยอะ เลยเดินเล่นแป๊บเดียว
1|115|3.0|0.9|อาจจะเป็นเพราะสถานการณ์ของโควิทที่เมื่อห้าปีก่อนมีผู้คนพลุกพล่านอย่างมากแต่วันนี้วันที่ผมได้กลับมาเยือนอีกครั้งหนึ่ง ถ้าไม่นับกลุ่มของผม วันลอยกระทงที่19 พย.64เวลาประมาณช่วงเที่ยง ผมเดินตั้งแต่แถวแดงแหนมเนืองจนเกือบสุด …
1|116|5.0|0.3|มีเวลามาเทียวหนองคายน่ะครับมีสถานที่ท่องเที่ยวหลายๆที่
1|117|5.0|2.0|ชอบเมี่ยง อร่อยมากแล้วก็กาแฟร้านนี้ด้วย อร่อยอยู่นะจะบอกให้ไปลอง
1|118|4.0|0.6|สะอาดดีค่ะ แม่ค้าน่ารัก
1|119|5.0|0.5|ร้านค้าตลาดท่าเสด็จยังเปิดขาย..ร้านอาหารยังขายทั้งบนบกในน้ำ
1|120|4.0|3.0|ส่วนใหญ่ของเหมือนตลาดมีชื่อทั่วไปครับ ประมาณคลองถม เชียร แซมกับเสื้อผ้าพื้นเมือง เครื่องประดับ ร้านอาหารน้อยครับ หาร้านนั่งลำบาก มีหลังคาก็ดีหน่อย แต่อากาศไม่ค่อยระบายเท่าไร
1|121|3.0|0.1|ไปตอนกลางวันไม่แนะนำ  ตอนเย็นๆเหมาะมาก
1|122|5.0|3.0|"ถนนคนเดิน ตลาดท่าเสด๊จ
ริมโขงหนองคายครับ"
1|123|4.0|2.0|ร้านอาหารอยู่ในตลาดท่าเสด็จ  ร้านรวยสำราญนารา สามารถลงมาทานอาหารข้างล่างได้
1|124|5.0|1.0|ร้านค้าและของขายเยอะมากครับ
1|125|4.0|2.0|ถ้าอยากกินปลาสดๆ อร่อยๆต้องที่นี่เลย
1|126|2.0|4.0|จะกินจะช็อปจะชมมีครบครับแต่อาจจะน้อยไปหน่อยไม่ค่อยหลากหลายเท่าไหร่
1|127|4.0|2.0|ไปเที่ยวสนุกมากอาหารอร่อยแม่ค้าใจดีประทับใจ
1|128|4.0|3.0|มาตอนถนนคนเดินยังไม่เปิด หาที่จอดรถค่อนข้างยาก บรรยากาศดี ติดริมโขง
1|129|5.0|1.0|อากาศดีมากเหมาะการพักผ่อน
1|130|5.0|1.0|ที่ระลึก ท่าน้ำริมแม่น้ำโขง ตลาดท่าเสด็จ หนองคาย
1|131|5.0|0.1|อาหารอร่อยมาก
1|132|5.0|4.0|สวยงาม บรรยากาศดี ทิวทัศน์สวยงาม มีส้นค้ามากมายให้เลือกซื้อ
1|133|4.0|2.0|มาเดินชมตลาดและแม่น้ำโขง
1|134|5.0|2.0|สินค้าและบริการ​ หลากหลายที่พัก​ร้านอาหาร
1|135|3.0|0.1|ช่วงนี้สินค้า ยังไม่เยอะคนน้อย
1|136|3.0|1.0|ตลาดของเยอะ ราคาแพงค่ะ ใกล้แม่น้ำโขง วิว
1|137|4.0|0.7|สะอาด มีของกิน ของฝากมากมายราคาไม่แพง แต่ไม่มีที่ตรวจวัดอุณหภูมิ และเจลล้างมือ
