venueid|name|gcategory
2412|วัดพระไชยเชษฐา|วัด
486|ประตูวัดบ้านไร่ (หลวงพ่อคูณ)|พิพิธภัณฑ์
147|วัดป่าสุทธาวาส|วัด
6339|อุทยานประวัติศาสตร์กำแพงเพชร|สถานที่สำคัญทางประวัติศาสตร์
20016|เจดีย์โบตะทาว|เจดีย์
68760|อ่าวปิเละ (ปิเละลากูน)|สถานที่ท่องเที่ยว
18709|ประตูบรันเดินบวร์ค|สถานที่สำคัญทางประวัติศาสตร์
34920|LE BONHEUR DESSERT SHOP|ร้านน้ำชา
2853|จุดชมวิวเสม็ดนางชี|จุดชมวิว
11227|จุดชมวิว ภูป่าเปาะ (จุดที่ 4)|กรมส่งเสริมการท่องเที่ยวในท้องถิ่น
1057|วัดไชยวัฒนาราม|สถานที่สำคัญทางประวัติศาสตร์
481|วัดโพธิ์ชัย (หลวงพ่อพระใส)|วัด
14739|วัดโลกโมฬี watlokmolee|วัด
2790|วัดศรีชุม (พระอจนะ)|สถานที่สำคัญทางประวัติศาสตร์
2188|ภูทอกน้อย วัดเจติยาคีรีวิหาร|วัด
48141|สวนพฤกษศาสตร์สิงคโปร์|สวนพฤกษศาสตร์
54726|วัดป่านาคนิมิตต์|วัด
15658|ปตท.หจก.ทิพย์ศิริ ปิโตรเลียม|สถานีบริการน้ำมัน
116082|Dolmabahçe Palace|ปราสาท
95373|Agaligo Coffee|ร้านกาแฟ
60382|ตลาดนัดสีเขียว (Saturday Green Market)|ตลาดเกษตรกร
35255|บ้านนายกชวน หลีกภัย|สวนพฤกษศาสตร์
49186|โรงพยาบาลสัตว์วีแคร์|โรงพยาบาลสัตว์
34907|The Mustcha マッチャ Café|伝統的な紅茶・緑茶店
4669|ศาลปู่แสะ ย่าแสะ|เทวสถาน
33962|วัดละหารใหญ่สังฆาราม|วัด
58741|ระเบียงวิว คาเฟ่ (Rabeing View Cafe)|ร้านกาแฟ
90554|วัดลาดสิงห์|วัด
13442|กังฟูหม่าล่า เบียร์หิมะอุดร KungFu Mhala Snow Beer UD|ร้านอาหาร
58942|วิทยาลัยเทคนิคหนองคาย 1|วิทยาลัย
85229|วัดป่าทรัพย์ทวีธรรมาราม|วัด
11500|วัดหนองจะบก|วัด
51158|ร้านแว่นตา OWNDAYS Central UdonThani|ช่างประกอบแว่นสายตา
1851|ทาวเวอร์บริดจ์|สะพาน
20680|ไทวัสดุ สาขาร้อยเอ็ด, Thai Watsadu Roi Et|ร้านขายอุปกรณ์ฮาร์ดแวร์
54650|วัดป่าคลองกุ้ง|วัด
27508|ปรินิพพาน กุสินารา कुशीनगर|สถานที่สำคัญทางโบราณคดี
1842|พิพิธภัณฑ์วาติกัน|พิพิธภัณฑ์ศิลปะ
2086|วัดป่านานาชาติ​|วัด
1901|Sands Expo & Convention Centre|ศูนย์จัดแสดงและขายสินค้า
10609|พระพุทธไสยาสน์เจาทัตยี|เจดีย์
15081|วัดมหาธาตุวชิรมงคล (วัดบางโทง) กระบี่|วัด
42925|วัดป่าภูริทัตตปฏิปทาราม|วัด
54218|โตโยต้า อมตะ Toyota Amata|ตัวแทนจำหน่ายรถโตโยต้า
1056|วิหารพระมงคลบพิตร|วัด
16053|วัดเบญจมบพิตรดุสิตวนารามราชวรวิหาร|วัด
4866|วัดอรุณราชวรารามราชวรมหาวิหาร (วัดแจ้ง)|วัด
5297|วัดเจ็ดยอด|วัด
10389|ช่องเขาขาดพิพิธภัณฑ์สถานแห่งความทรงจำ|พิพิธภัณฑ์
4608|วัดมรุกขนคร|สถานที่ประกอบพิธีกรรมทางศาสนา
14390|Savior on the Spilled Blood|โบสถ์
55442|วัดป่าไชยวาน|วัด
50041|UNIQLO CentralWorld Store|ร้านเสื้อผ้า
11235|เกาะสิมิลัน|เกาะ
60963|พญาศรีมุกดามหามุนีนีลปาลนาคราช|สถานที่บูชาทางศาสนา
32161|วัดป่าบ้านพันลำ|วัด
1685|ศาลเจ้ายาซูกูนิ|ศาลเจ้าชินโต
27505|วัดเชตวันมหาวิหาร|อาราม
14506|MAGURO (Health Land Chaeng Watthana)|ภัตตาคารอาหารญี่ปุ่น
64009|วัดสี่แยกแสงเพชร|วัด
52245|วิกตอเรียพีค|ยอดเขา
15597|วัดธาตุประสิทธิ์|วัด
5992|พระบรมธาตุเจดีย์ศรีมงคล หลวงปู่คำบ่อ|วัด
26668|วัดประยงค์กิตติวนาราม|วัด
45305|ร้านขนมเบื้องสองพี่น้อง|ร้านอาหาร
64032|วัดป่าสุดเขตแดนสยาม|วัด
69127|อ่าวหะล็อง|อ่าว
15628|Florista Cafe and Eatery|ร้านอาหาร
38442|วัดนางนองวรวิหาร|วัด
24995|วัดป่าดาราภิรมย์ พระอารามหลวง|วัด
8597|วัดมหาวนาราม​ พระอารามหลวง|วัด
1294|อนุสาวรีย์ท้าวสุรนารี (ย่าโม)|สวนอนุสรณ์สถาน
16691|ภูชี้ฟ้า|ยอดเขา
4462|พระมหาธาตุนภเมทนีดลและพระมหาธาตุนภพลภูมิสิริ|สถานที่ท่องเที่ยว
7822|วัดสิรินธรวรารามภูพร้าว|วัด
715|วัดพระธาตุบังพวน|วัด
12848|ทัชมาฮาล|อนุสาวรีย์
95931|จุดชมวิว ภูลมโล|อุทยานแห่งชาติ
3912|ลานหินปุ่ม|สถานที่ท่องเที่ยว
2049|วัดหินหมากเป้ง|วัด
2642|วัดภูมินทร์|วัด
11213|พระมหาเจดีย์ ศรีชัยมงคล|สถานที่บูชาทางศาสนา
7768|สวนสาธารณะบึงทุ่งสร้าง|สวนสาธารณะของเมือง
301|วัดเจดีย์หลวง วรวิหาร เชียงใหม่|วัด
17416|วัดนันตาราม เชียงคำ พะเยา|วัด
9953|พิพิธภัณฑ์หุ่นขี้ผึ้งหลวงปู่ขาว อนาลโย at อำเภอเมืองหนองบัวลำภู|พิพิธภัณฑ์
7666|วัดบ้านจาน (หลวงปู่หมุน)|สถานที่ประกอบพิธีกรรมทางศาสนา
2201|วัดพระธาตุเรณู|วัด
51|ลานพญาศรีสัตตนาคราช|อนุสาวรีย์
3036|วัดเนรมิตวิปัสสนา|วัด
6015|พิพิธภัณฑ์อาจารย์ฝั้น อาจาโร|พิพิธภัณฑ์
3914|วัดร่องขุ่น|วัด
255|วัดพระธาตุผาซ่อนแก้ว|วัด
8674|พีระมิดลูฟวร์|สถานที่สำคัญทางวัฒนธรรม
23265|ติดหม้อชาบู|ร้านอาหาร
12593|อุทยานแห่งชาติไซออน|อุทยานแห่งชาติ
186312|Baan Suan Ngam บ้านสวนงาม สระบุรี|โฮมสเตย์
85996|งานเชียงรายดอกไม้งาม|พิพิธภัณฑ์
27503|มูลนิธิพุทธชยันตี ไทย-อินเดีย|วัด
22383|ร้านครัวเพชรดอยงาม ครัวเมืองคลาสสิก|ภัตตาคารอาหารไทย
45580|Viking Ship Museum|พิพิธภัณฑ์ประวัติศาสตร์
95377|วัดโป่หลิน|วัด
80599|ฮ้อง ข้าวต้มปลา|ร้านอาหาร
17019|วัดใหญ่บางปลากด|วัด
4230|The Baristro Asian Style|ร้านกาแฟ
43131|Om Garden Cafe|ร้านอาหาร
53125|แอนฟีลด์|สนามกีฬา
194562|ร้านอาหารบ้านทรงไทย BaanSongThai Reatuarant|ร้านอาหาร
8668|Galeries Lafayette Haussmann|ห้างสรรพสินค้า
53508|ร้านอาหารสเต็กหลังเขา|ร้านอาหาร
51254|แต้เฮี้ยงอิ้ว|ร้านอาหาร
60361|บ้านชมสวนรีสอร์ท|ที่พัก
95338|7-Eleven สาขา โซ่พิสัย (08067)|ร้านสะดวกซื้อ
15291|Chez Nous Chiangmai|ร้านกาแฟ
54796|วัดป่าเวฬุวนาราม (วัดโนนกกจาน)|วัด
151816|Haedong Yonggungsa Temple|วัด
113123|แม็คโคร กบินทร์บุรี|ห้างสรรพสินค้า
82983|บิ๊กมาร์ทซุปเปอร์สโตร์|ศูนย์การค้า
116048|เครมลินแห่งมอสโก|สถานที่สำคัญทางประวัติศาสตร์
97297|ร้านอาหารและคาเฟ่สวีเดน - อิเกีย|ภัตตาคารอาหารสวีเดน
51010|วัดพรประภานิมิต|วัด
61886|สินไทยพาณิชย์|ร้านขายของชำ
27201|7tique coffee shop|ร้านกาแฟ
49141|วัดอัมพวัน - หลวงพ่อโหน่ง|วัด
27220|ม่อนพญานาคราช เชียงใหม่|สถานที่บูชาทางศาสนา
39463|Café Laura|ร้านอาหาร
62875|Château du Haut-Kœnigsbourg|ปราสาท
27463|Pha Daeng Peak Viewpoint - Nong Khiaw Viewpoint|ดาดฟ้าชมวิว
148531|ร้าน บ้านไผ่ลิ้มซินเฮียง|ร้านค้า
54449|วัดเขาศาลาอตุลฐานะจาโร (หลวงพ่อเยื้อน)|วัด
81300|Adam&eve​ cafe' and bistro|ร้านอาหาร
100759|Hacking Coffee Flagship|โรงคั่วกาแฟ
28555|วัดอุดมมงคลวนาราม (วัดป่าบ้านนาคำน้อย) at นายูง อุดรธานี|วัด
132007|พระที่นั่งจักรีมหาปราสาท|ปราสาท
3876|วัดธรรมยาน (พระอุโบสถ)|วัด
75262|พระยืน ๓๐ ศอก (หลวงพ่อเงินไหลมาเทมา)|สถานที่บูชาทางศาสนา
92769|บริษัท ยางบุญกิจหนองคาย 1997 จำกัด|ร้านยางรถยนต์
18727|ก๋วยเตี๋ยวต้นทาง @ นครลำปาง|ร้านอาหาร
120089|วัดสันทรายหลวง|วัด
52297|ทะเลสาบฮหว่านเกี๊ยม|ทะเลสาบ
9250|ท่าอากาศยานนานาชาติดูไบ|สนามบิน
3018|เจดีย์พิพิธภัณฑ์หลวงปู่หลุย จันทสาโร|พิพิธภัณฑ์
21765|วัดหนังราชวรวิหาร|วัด
14274|La Baguette French Bakery Cafe & Restaurant|ภัตตาคารอาหารฝรั่งเศส
53468|หาดในหาน|ชายหาด
123409|Linh Phuoc Pagoda|วัด
17420|วัดช่องแค|วัด
48169|เขื่อนมารีน่า|ทำนบ
49998|วนอุทยานน้ำตกผาหลวง|อุทยานแห่งชาติ
22773|จุดชมวิว ศาลา ดุสิตา ทุงแสลงหลวง|จุดชมวิว
8552|น้ำตกห้วยจันทร์|สถานที่ท่องเที่ยว
38584|วัดภูพลานสูง|วัด
55426|Tanukikoji Shopping Street|บิสสิเนสพาร์ค
22911|เกาะไม้ไผ่|เกาะ
22968|วัดพระแก้วเชียงของ|วัด
3919|Phu Chifa|ยอดเขา
4701|หลวงพ่อช้าง วัดจุกเฌอ แปดริ้ว|วัด
114976|พระมหาเจดีย์ศรีแสงธรรมวิสุทธิมงคล|เจดีย์
13375|วัดอุโมงค์มหาเถรจันทร์|วัด
97864|ทุ่งมะขามหย่อง|สถานที่ท่องเที่ยว
8684|ร้านหนังสือ คิโนะคูนิยะ สาขาสยาม พารากอน|ร้านหนังสือ
34396|Hiddenwoods|ร้านกาแฟ
19113|ซากราดาฟามีเลีย|มหาวิหาร
80657|พระพุทธชินราช Buddha Chinnaraj|วัด
8136|วัดป่าดานวิเวก (หลวงปู่ทุย)|วัด
17529|อาเหลียง ก๋วยเตี๋ยวเนื้อตุ๋น|ร้านก๋วยเตี๋ยว
6004|วัดดอยธรรมเจดีย์|วัด
3795|ผาชะนะได|สถานที่ท่องเที่ยว
29680|Sha Tin Che Kung Temple|วัดนิกายเต๋า
607|วัดมหาธาตุวรวิหาร ราชบุรี|วัด
1904|ท่าอากาศยานสิงคโปร์ชางงี|สนามบิน
6898|สวนสาธารณะสมเด็จพระเจ้าตากสินมหาราช|อุทยาน
16099|วัดโพธิ์ประทับช้าง|วัด
18157|วัดเจริญราษฎร์บำรุง (วัดหนองพงนก)|วัด
31869|วัดอินทราวาส (วัดต้นเกว๋น)|วัด
1039|วัดพระธาตุช่อแฮ พระอารามหลวง|ร้านกาแฟ
2240|The For Rest cafe|ร้านกาแฟ
2952|พระธาตุขามแก่น|วัด
4571|วัดพระพุทธบาท ราชวรมหาวิหาร สระบุรี|วัด
14570|วัดหน้าพระเมรุราชิการาม (พระอารามหลวง)|วัด
3757|อาสนวิหารอัครเทวดามีคาแอล ท่าแร่|อาสนวิหาร
3141|พระมหาธาตุแก่นนคร|เจดีย์
14740|สำนักสงฆ์ถ้ำผาปล่อง(หลวงปู่สิม)|วัด
2688|อนุสาวรีย์ครูบาศรีวิชัย|อนุสาวรีย์
19988|จุดชมวิวลาดเกาะ|จุดชมวิว
3589|Khao Yai Art Museum|พิพิธภัณฑ์ศิลปะ
560|วัดพระธาตุลำปางหลวง|วัด
24884|ปราสาทสระกำแพงใหญ่|สถานที่สำคัญทางประวัติศาสตร์
41610|วัดพระมหาไถ่ กรุงเทพฯ|โบสถ์คาทอลิก
1837|พิพิธภัณฑ์ลูฟวร์|พิพิธภัณฑ์ศิลปะ
3469|เกาะไข่|เกาะ
23479|วัดอรัญญบรรพต|วัด
17344|วัดพระธาตุผาเงา (วิหารหลวงพ่อผาเงา)|วัด
718|วัดป่าสว่างบุญ|วัด
27096|เตี๋ยวเด็ด หนองสองห้อง|ร้านก๋วยเตี๋ยว
3874|หอคำหลวง|สถานที่ท่องเที่ยว
19272|มหาวิทยาลัยขอนแก่น วิทยาเขตหนองคาย|มหาวิทยาลัยรัฐ
37207|จุดชมวิวกังหันลม|สถานที่ท่องเที่ยว
11240|อุทยานประวัติศาสตร์ศรีสัชนาลัย|สถานที่สำคัญทางประวัติศาสตร์
6376|วัดสมเด็จภูเรือมิ่งเมือง|วัด
8057|พระนารายณ์ราชนิเวศน์|สถานที่สำคัญทางประวัติศาสตร์
24739|พิพิธภัณฑ์สัตว์น้ำไคยูกัง|พิพิธภัณฑ์สัตว์น้ำ
105555|วัดราชบุรณราชวรวิหาร (วัดเลียบ)|วัด
12979|มหาวิหารมิลาน|โบสถ์คาทอลิก
38048|ดีแคทลอน บางนา|ร้านอุปกรณ์กีฬา
4594|ศาลท้าวมหาพรหม|สถานที่สักการะบูชา
7848|วิหารหลวงพ่อสำเร็จศักดิ์สิทธิ์|สถานที่บูชาทางศาสนา
8838|โครงการชั่งหัวมัน ตามพระราชดำริ|สถานที่ท่องเที่ยว
7697|ศูนย์อาหารเทอร์มินอล21|ศูนย์อาหาร
2138|น้ำตกวชิรธาร|น้ำตก
2117|อุทยานประวัติศาสตร์พนมรุ้ง|สถานที่สำคัญทางประวัติศาสตร์
23884|สวนเฉลิมพระเกียรติ พัทยา|อุทยาน
40890|Otaru Music Box Museum|ร้านจำหน่ายกล่องดนตรี
23047|ร้านไส้อั่ว เนื้อทุบ แม่หลวงเพ็ญ|ร้านอาหาร
25976|โรงละครแห่งชาติ|โรงละคร
2120|อุทยานประวัติศาสตร์พิมาย|สถานที่สำคัญทางประวัติศาสตร์
17245|อุทยานแห่งชาติภูลังกา|อุทยานแห่งชาติ
6320|อนุสาวรีย์สมเด็จพระเจ้าตากสินมหาราช|อนุสาวรีย์
24737|โดทงโบะริ|บิสสิเนสพาร์ค
3908|พระตำหนักดอยตุง สวนแม่ฟ้าหลวง|สถานที่ท่องเที่ยว
52798|วัดปราสาทนนทบุรี|วัด
8626|วัดพระธาตุท่าอุเทน|วัด
3900|วัดมหาธาตุ|สถานที่สำคัญทางประวัติศาสตร์
22678|สุสานไตรลักษณ์|พิพิธภัณฑ์
6027|Dose Espresso Thailand|ร้านกาแฟ
2307|วัดถ้ำผาแด่น|วัด
6524|อุทยานแห่งชาติ น้ำตกพลิ้ว (อุทยานแห่งชาติ เขาสระบาป)|อุทยาน
34957|วัดเจดีย์เจ็ดแถว|สถานที่สำคัญทางประวัติศาสตร์
74676|ร้านข้าวหมูแดงหมูกรอบ ตา+ต๊ะ บ้านโป่ง|ร้านอาหาร
49142|วัดน้อย (หลวงพ่อเนียม)|วัด
52311|วัดชมภูเวก|วัด
35904|ริเวอร์เดล กอล์ฟ คลับ|สนามกอล์ฟ
44187|Lowbattery Coffee|ร้านกาแฟ
28421|The Zixgar Club|ร้านกาแฟ
40948|Google Thailand|บริษัทซอฟท์แวร์
48658|น้ำตกเคงง|จุดชมวิว
45899|382 space coffee|ร้านกาแฟ
54859|สถูปอิฐพระธาตุพนมองค์เดิม|เจดีย์
144744|พระธาตุดอยแม่ย่าม่อน|เจดีย์
1763|Tháp Bitexco Financial Tower|สำนักงานของบริษัท
49369|The Deck by Arun Residence|ร้านอาหารฟิวชั่นเอเชีย
84363|ศาลสมเด็จพระเจ้าตากสิน|สถานที่บูชาทางศาสนา
30298|สำนักปฏิบัติธรรมวัดคลองตาลอง|สถานที่ประกอบพิธีกรรมทางศาสนา
55333|สถานีบริการ NGV เบสท์ เอ็นจีวี|สถานีบริการน้ำมัน
27498|วัดไทยกุสินาราเฉลิมราชย์ อินเดีย(วัดไทยเฉลิมพระเกียรติ)|สถานที่ประกอบพิธีกรรมทางศาสนา
95380|เต็ก-เตี๋ยว|ร้านอาหาร
137173|พิพิธภัณฑ์หลวงพ่อเดิม วัดหนองโพ|พิพิธภัณฑ์
40532|เทวสถานปรางค์แขก|สถานที่สำคัญทางประวัติศาสตร์
28077|มหาวิทยาลัยราชภัฏสกลนคร|มหาวิทยาลัย
16626|วัดกร่าง|วัด
26553|พระธาตุมหาชัย|วัด
29482|วัดไกลกังวล (เขาสารพัดดีศรีเจริญธรรม)|วัด
48271|Toscana Valley Country Club|สนามกอล์ฟ
25185|วัดท่าคก|วัด
22900|Café Amazon Concept Store สาขา พหลโยธิน กม.56|ร้านกาแฟ
34685|The Country Grill|บาร์ & กริลล์
1855|อาร์กเดอทรียงฟ์เดอเลตวล|อนุสาวรีย์
10784|ดีแคทลอน บางใหญ่|ร้านอุปกรณ์กีฬา
44653|วิทยาลัยนานาชาติ มหาวิทยาลัยขอนแก่น|มหาวิทยาลัย
8624|Quartier Foodhall|ศูนย์อาหาร
127636|ศาลเจ้าปู่ศรีสุทโธ|สถานที่สักการะบูชา
8230|วัดพระแก้ว เชียงราย|วัด
302|วัดพระสิงห์วรมหาวิหาร|วัด
11239|อุทยานประวัติศาสตร์พระนครคีรี|สถานที่สำคัญทางประวัติศาสตร์
21218|วัดกู่ประภาชัย|วัด
27720|วัดป่าหนองหล่มวนาราม (หลวงปู่หมุน)|วัด
11237|อุทยานแห่งชาติแก่งกระจาน|อุทยานแห่งชาติ
71403|ศาลานที ทองศิริ เซียนแปะ|สถานที่สักการะบูชา
19693|ซุ้มประตูวัฒนธรรมไทย - จีน|สถานที่สำคัญทางประวัติศาสตร์
29631|วัดมงคลโคธาวาส|วัด
4482|Bluekoff khonkaen|ร้านกาแฟ
43215|ศาลเจ้ากวนอู (คลองสาน)|สถานที่สักการะบูชา
69619|สวนสุขภาพลัดโพธิ์|สวนอนุสรณ์สถาน
8225|พระบรมธาตุศรีนครินทราสถิตย์มหาสันติคีรี|สถานที่ประกอบพิธีกรรมทางศาสนา
5473|วังเทพทาโร|ฮอลิเดย์พาร์ค
11236|อุทยานแห่งชาติภูหินร่องกล้า|อุทยานแห่งชาติ
11398|วัดจามเทวี|วัด
3904|ดอยอ่างขาง|ยอดเขา
13698|วัดป่าภูหายหลง|วัด
16095|วัดห้วยเจริญสุข|วัด
18509|จุดชมวิวถนนพับผ้า|จุดชมวิว
55912|วัดโฮคันจิ|วัด
23046|ร้านกาแฟมิตรไมตรี MITMAITRI COFFEE|ร้านกาแฟ
74371|สวนไอคอนสยามพาร์ก|สวน
155628|พิพิธภัณฑ์ศิลปะเมโทรโพลิทัน|พิพิธภัณฑ์ศิลปะ
85079|โอ้กะจู๋ สาขา มาร์เก็ตวิลเลจ รังสิต (OHKAJHU Market Village Rangsit)|ร้านอาหารสุขภาพ
87964|Hong island 360° View point|ดาดฟ้าชมวิว
116024|วัดจะทิ้งพระ|วัด
82746|วัดบ้านปาง ครูบาศรีวิชัย|วัด
2059|พระมหาเจดีย์พิพิธภัณฑ์หลวงปู่มั่น ภูริทัตโต|เจดีย์
48138|ราชประสงค์​สกายวอล์ก​|สะพาน
92192|ครัวสมหญิง|ร้านอาหารครอบครัว
18575|Coconut Organic Garden|ร้านอาหาร
48355|วัดเจริญสุขาราม|วัด
119339|วัดเทพเจติยาจารย์|วัด
13368|จุดชมวิวกิ่วกระทิง|จุดชมวิว
97033|ครัวเตเต้|ร้านอาหาร
75274|ปากหม้อศรีเทพ2byครูตาล|ร้านขนมหวาน
113500|วัดมหาวัน|วัด
167058|Dambulla Royal Cave Temple and Golden Temple|วัด
16717|ลานกางเต็นท์เอื้องเงิน|พื้นที่ตั้งแคมป์
49106|วัดลาดศรัทธาราม (ศาลาหมูสี)|วัด
55480|ไอเลิฟสวีท|ร้านอาหาร
128775|Queen of Bakery @Khao Yai|ร้านเบเกอรี่
