venueid|userid|score|time
7|584|5.0|3.0
7|305|5.0|2.0
7|872|5.0|4.0
7|1507|3.0|1.0
7|367|5.0|1.0
7|1899|5.0|1.0
7|490|5.0|1.0
7|1507|3.0|1.0
7|1023|5.0|1.0
7|1728|5.0|4.0
7|2728|5.0|5.0
7|630|5.0|0.6
7|575|4.0|3.0
7|93|4.0|3.0
7|204|4.0|1.0
7|1730|4.0|1.0
7|537|4.0|3.0
7|1455|4.0|1.0
7|2765|4.0|4.0
7|2766|5.0|3.0
7|1742|3.0|3.0
7|2794|4.0|3.0
7|1018|5.0|2.0
7|1108|3.0|3.0
7|1811|4.0|0.9
7|2843|5.0|4.0
7|1569|5.0|0.4
7|1207|5.0|0.1
7|1330|4.0|0.3
7|2888|5.0|3.0
8|1965|5.0|0.7
8|2658|4.0|0.7
8|14|5.0|1.0
8|631|5.0|0.3
8|45|5.0|1.0
8|934|5.0|1.0
8|2586|4.0|1.0
8|2898|5.0|2.0
8|33|5.0|1.0
8|2899|3.0|3.0
8|872|5.0|4.0
8|1625|5.0|3.0
8|1730|4.0|0.2
8|197|4.0|0.8
8|959|5.0|2.0
8|946|5.0|0.5
8|2674|5.0|3.0
8|537|2.0|5.0
8|418|5.0|5.0
8|1783|4.0|2.0
8|584|5.0|3.0
8|429|5.0|4.0
8|1899|5.0|1.0
8|1037|5.0|5.0
8|796|4.0|5.0
8|663|5.0|4.0
8|1507|3.0|1.0
8|1569|4.0|2.0
8|305|5.0|2.0
8|2794|4.0|3.0
8|1403|5.0|3.0
8|630|5.0|0.5
8|992|5.0|4.0
8|1659|5.0|3.0
8|1023|5.0|2.0
8|1702|4.0|4.0
8|309|4.0|3.0
8|2964|5.0|5.0
8|920|5.0|1.0
8|2034|4.0|2.0
8|1452|5.0|2.0
8|2888|5.0|3.0
8|1070|5.0|2.0
8|2976|5.0|2.0
8|970|3.0|4.0
8|2766|5.0|3.0
8|2982|4.0|2.0
8|2765|4.0|5.0
8|2997|4.0|2.0
8|2728|5.0|3.0
8|2695|5.0|5.0
8|1810|5.0|5.0
8|298|3.0|2.0
8|1018|5.0|2.0
8|695|5.0|4.0
8|1002|3.0|2.0
8|2446|4.0|3.0
8|1811|3.0|1.0
8|1303|3.0|2.0
8|1179|4.0|2.0
9|178|5.0|0.4
9|2898|5.0|2.0
9|170|5.0|4.0
9|309|4.0|0.5
9|1037|5.0|3.0
9|2794|4.0|0.6
9|134|5.0|2.0
9|631|5.0|3.0
9|3206|4.0|2.0
9|1008|5.0|2.0
9|939|4.0|2.0
9|872|5.0|4.0
9|1663|5.0|2.0
9|650|5.0|1.0
9|630|3.0|1.0
9|776|5.0|4.0
9|1725|3.0|6.0
9|429|5.0|2.0
9|2567|5.0|3.0
9|1300|5.0|3.0
9|2765|5.0|5.0
9|1466|5.0|1.0
9|1742|3.0|4.0
9|1304|3.0|2.0
9|1018|4.0|0.7
9|2446|4.0|2.0
9|272|4.0|1.0
9|902|5.0|3.0
9|329|5.0|3.0
9|2843|5.0|4.0
9|3882|5.0|2.0
10|178|5.0|0.8
10|575|4.0|0.8
10|9|5.0|0.3
10|2586|4.0|1.0
10|1303|5.0|3.0
10|650|5.0|1.0
10|1507|3.0|1.0
10|272|5.0|1.0
10|134|5.0|1.0
10|1603|4.0|4.0
10|2843|5.0|4.0
10|1023|5.0|2.0
10|1702|5.0|4.0
10|1179|4.0|1.0
10|1027|5.0|2.0
10|2843|5.0|4.0
11|2658|4.0|0.7
11|1965|5.0|0.7
11|33|5.0|1.0
11|45|5.0|1.0
11|872|5.0|1.0
11|78|5.0|2.0
11|2586|4.0|1.0
11|4204|5.0|1.0
11|1728|5.0|3.0
11|14|5.0|0.9
11|499|5.0|1.0
11|367|5.0|1.0
11|663|5.0|3.0
11|1400|5.0|1.0
11|217|5.0|0.1
11|4249|5.0|1.0
11|204|5.0|1.0
11|1520|5.0|1.0
11|1783|5.0|2.0
11|1899|5.0|1.0
11|2695|5.0|1.0
11|1037|5.0|2.0
11|694|4.0|1.0
11|1507|3.0|1.0
11|2305|5.0|1.0
11|584|5.0|3.0
11|920|3.0|1.0
11|1023|5.0|2.0
11|1330|4.0|0.9
11|991|5.0|1.0
11|1758|4.0|1.0
11|537|3.0|3.0
11|427|5.0|3.0
11|1018|5.0|2.0
11|1403|5.0|3.0
11|992|4.0|3.0
11|2518|5.0|2.0
11|794|5.0|2.0
11|309|3.0|3.0
11|1023|5.0|1.0
11|2794|3.0|3.0
11|1002|5.0|1.0
11|1107|4.0|0.9
11|776|5.0|3.0
11|630|5.0|1.0
11|429|5.0|3.0
11|970|5.0|3.0
11|1702|5.0|4.0
11|2765|5.0|5.0
11|2766|5.0|3.0
11|1477|4.0|1.0
11|1466|5.0|0.1
11|2964|5.0|5.0
11|1100|4.0|1.0
11|2982|5.0|2.0
11|1455|5.0|0.6
11|946|5.0|0.5
11|4455|5.0|4.0
11|2084|5.0|1.0
11|2728|5.0|2.0
11|1955|5.0|0.9
11|1811|4.0|1.0
11|1304|3.0|1.0
11|2567|5.0|3.0
11|2843|5.0|4.0
11|1187|5.0|1.0
11|1108|3.0|3.0
11|1603|5.0|4.0
11|1534|5.0|1.0
11|1207|5.0|1.0
11|902|5.0|3.0
11|4754|3.0|1.0
11|1008|5.0|2.0
11|3206|4.0|2.0
12|4796|5.0|0.6
12|1477|5.0|0.6
12|946|5.0|0.5
13|9|5.0|0.3
13|1955|5.0|0.7
13|2662|5.0|0.8
13|937|5.0|0.9
13|575|3.0|4.0
13|1625|5.0|3.0
13|1027|5.0|0.1
13|2674|5.0|1.0
13|4754|4.0|1.0
13|1507|3.0|1.0
13|1730|4.0|0.8
13|537|3.0|2.0
13|794|5.0|2.0
13|934|5.0|3.0
13|1023|5.0|2.0
13|1393|5.0|1.0
13|762|5.0|3.0
13|48|5.0|2.0
13|2034|5.0|3.0
13|1507|3.0|1.0
13|1037|5.0|4.0
13|4974|5.0|5.0
13|4249|5.0|1.0
13|1603|5.0|4.0
13|2997|4.0|2.0
13|2487|4.0|3.0
13|2976|5.0|2.0
13|4998|4.0|3.0
13|959|5.0|1.0
13|1477|5.0|1.0
13|2765|4.0|3.0
13|2982|4.0|2.0
13|1810|5.0|3.0
13|2446|3.0|3.0
14|1955|5.0|0.6
14|2658|5.0|0.7
14|1965|5.0|0.7
14|14|5.0|1.0
14|9|5.0|0.2
14|631|5.0|1.0
14|504|5.0|0.1
14|934|5.0|1.0
14|2982|5.0|2.0
14|2898|5.0|2.0
14|134|5.0|3.0
14|2899|4.0|3.0
14|4204|5.0|0.7
14|2689|5.0|3.0
14|575|4.0|4.0
14|644|4.0|3.0
14|410|5.0|4.0
14|4249|5.0|1.0
14|367|4.0|1.0
14|1507|3.0|1.0
14|663|5.0|3.0
14|937|5.0|0.9
14|443|5.0|3.0
14|1303|5.0|3.0
14|272|4.0|1.0
14|939|5.0|3.0
14|3206|4.0|2.0
14|872|5.0|4.0
14|4998|5.0|3.0
14|2084|5.0|2.0
14|418|5.0|5.0
14|28|5.0|5.0
14|537|5.0|5.0
14|970|5.0|2.0
14|1023|5.0|2.0
14|2888|5.0|3.0
14|372|4.0|1.0
14|1702|5.0|4.0
14|429|5.0|3.0
14|1027|5.0|2.0
14|2034|4.0|2.0
14|298|3.0|2.0
14|762|5.0|1.0
14|630|5.0|1.0
14|1730|4.0|0.8
14|1018|5.0|3.0
14|2695|5.0|1.0
14|992|4.0|3.0
14|2997|3.0|2.0
14|2518|4.0|2.0
14|309|3.0|3.0
14|1659|5.0|3.0
14|305|5.0|2.0
14|1002|4.0|1.0
14|1037|5.0|2.0
14|1179|4.0|2.0
14|959|5.0|2.0
14|776|5.0|2.0
14|1260|5.0|1.0
14|4796|5.0|2.0
14|1400|5.0|1.0
14|2487|3.0|2.0
14|2976|5.0|2.0
14|2053|5.0|2.0
14|1507|3.0|1.0
14|2794|4.0|3.0
14|2765|5.0|3.0
14|1100|5.0|1.0
14|1108|5.0|2.0
14|1466|5.0|1.0
14|2567|5.0|2.0
14|2305|5.0|3.0
14|1107|5.0|2.0
14|1304|4.0|2.0
14|197|5.0|0.9
14|1569|5.0|2.0
14|695|5.0|2.0
15|4204|5.0|0.7
15|4796|5.0|0.5
15|1899|5.0|1.0
15|1725|2.0|0.1
15|2899|3.0|2.0
15|2674|5.0|1.0
15|796|5.0|2.0
15|575|3.0|4.0
15|418|5.0|5.0
15|1507|2.0|1.0
15|309|3.0|3.0
15|2689|5.0|3.0
15|443|5.0|3.0
15|537|5.0|3.0
15|504|1.0|1.0
15|1730|5.0|1.0
15|3206|4.0|2.0
15|663|5.0|3.0
15|872|5.0|4.0
15|367|5.0|1.0
15|48|5.0|2.0
15|2034|5.0|2.0
15|410|5.0|2.0
15|329|4.0|3.0
15|2053|5.0|2.0
15|4974|5.0|5.0
15|584|5.0|3.0
15|5926|5.0|5.0
15|1520|1.0|1.0
15|2997|3.0|2.0
15|959|5.0|2.0
15|630|5.0|2.0
15|1037|4.0|4.0
15|2305|5.0|3.0
15|28|5.0|5.0
15|992|4.0|2.0
15|1027|5.0|2.0
15|2976|5.0|2.0
15|372|4.0|3.0
15|1452|5.0|3.0
15|920|3.0|1.0
15|2487|3.0|2.0
15|776|5.0|2.0
15|2765|4.0|3.0
15|2982|4.0|2.0
15|3882|5.0|3.0
15|4998|5.0|0.8
15|1520|4.0|2.0
15|1569|5.0|2.0
15|939|5.0|3.0
15|1008|5.0|2.0
15|1810|5.0|2.0
15|1330|4.0|1.0
15|1107|5.0|2.0
15|1702|5.0|2.0
15|329|5.0|5.0
15|1179|3.0|2.0
15|1018|5.0|2.0
15|197|1.0|0.9
15|2843|5.0|4.0
15|1783|5.0|2.0
15|1393|5.0|1.0
15|1955|5.0|0.9
15|1304|5.0|2.0
15|329|5.0|5.0
15|1207|5.0|1.0
15|1108|5.0|2.0
16|1783|4.0|2.0
16|872|5.0|4.0
16|1357|5.0|2.0
16|1023|5.0|3.0
16|4974|5.0|5.0
16|5926|5.0|5.0
16|2794|4.0|3.0
16|537|4.0|2.0
16|1507|3.0|1.0
16|1659|4.0|3.0
16|1300|2.0|3.0
16|4974|5.0|5.0
16|4754|4.0|1.0
16|1728|5.0|3.0
16|2982|5.0|2.0
16|2888|5.0|3.0
16|429|5.0|3.0
16|1108|5.0|2.0
17|1955|5.0|0.6
17|4204|5.0|0.7
17|1899|5.0|1.0
17|33|5.0|1.0
17|2586|4.0|1.0
17|934|5.0|1.0
17|2674|5.0|1.0
17|1625|5.0|3.0
17|2899|3.0|4.0
17|4249|5.0|1.0
17|134|5.0|3.0
17|490|5.0|2.0
17|762|5.0|3.0
17|2689|4.0|3.0
17|410|5.0|2.0
17|3882|5.0|3.0
17|5926|5.0|5.0
17|1400|5.0|1.0
17|1393|5.0|1.0
17|2446|3.0|3.0
17|920|5.0|1.0
17|2034|4.0|3.0
17|4974|5.0|5.0
17|4974|5.0|5.0
17|372|5.0|1.0
17|1179|5.0|1.0
17|1070|5.0|2.0
17|537|4.0|2.0
17|909|4.0|3.0
17|2728|5.0|5.0
17|1107|5.0|2.0
17|204|4.0|1.0
17|2976|5.0|2.0
17|1100|5.0|1.0
17|2765|4.0|3.0
17|2982|4.0|2.0
17|4455|5.0|9.0
17|946|5.0|0.5
17|939|5.0|3.0
17|1455|5.0|2.0
17|1810|5.0|2.0
17|2843|5.0|4.0
17|1260|5.0|1.0
17|2053|5.0|3.0
17|1534|5.0|1.0
17|2305|5.0|2.0
17|1811|4.0|3.0
17|1187|5.0|0.2
17|2487|4.0|1.0
18|2658|4.0|0.7
18|14|5.0|1.0
18|1965|5.0|0.9
18|33|5.0|1.0
18|45|5.0|1.0
18|1899|5.0|1.0
18|2586|4.0|1.0
18|2898|5.0|2.0
18|2899|3.0|2.0
18|170|5.0|4.0
18|2662|5.0|0.8
18|1625|5.0|3.0
18|796|4.0|1.0
18|2689|5.0|3.0
18|28|5.0|5.0
18|272|5.0|1.0
18|4998|4.0|3.0
18|70|5.0|3.0
18|902|5.0|3.0
18|78|5.0|2.0
18|650|5.0|1.0
18|1702|5.0|4.0
18|2674|5.0|4.0
18|305|5.0|2.0
18|47|5.0|0.9
18|1507|5.0|1.0
18|499|5.0|1.0
18|3206|4.0|2.0
18|695|5.0|2.0
18|309|4.0|3.0
18|298|5.0|2.0
18|970|5.0|3.0
18|1403|5.0|3.0
18|1725|5.0|6.0
18|959|5.0|2.0
18|1659|5.0|3.0
18|418|5.0|5.0
18|367|5.0|1.0
18|178|5.0|2.0
18|644|4.0|4.0
18|2728|5.0|5.0
18|429|5.0|3.0
18|2695|5.0|1.0
18|872|5.0|4.0
18|584|5.0|3.0
18|1002|5.0|1.0
18|427|5.0|3.0
18|1663|5.0|2.0
18|1783|5.0|2.0
18|5926|5.0|5.0
18|3882|4.0|3.0
18|48|5.0|0.3
18|4249|5.0|1.0
18|663|5.0|4.0
18|4796|5.0|2.0
19|9|5.0|0.3
19|1965|5.0|0.7
19|2662|4.0|0.8
19|4796|5.0|1.0
19|33|5.0|1.0
19|631|5.0|1.0
19|443|5.0|0.5
19|2898|4.0|2.0
19|2689|5.0|3.0
19|1625|5.0|3.0
19|4204|5.0|1.0
19|93|4.0|4.0
19|78|5.0|2.0
19|70|5.0|3.0
19|47|2.0|0.9
19|305|5.0|2.0
19|28|5.0|3.0
19|504|5.0|1.0
19|490|5.0|2.0
19|204|4.0|1.0
19|298|4.0|2.0
19|1758|3.0|3.0
19|2084|5.0|2.0
19|2997|5.0|2.0
19|4754|4.0|1.0
19|4998|5.0|0.8
19|644|3.0|3.0
19|3882|5.0|3.0
19|93|5.0|4.0
19|537|3.0|3.0
19|909|4.0|3.0
19|1783|5.0|2.0
19|2518|5.0|1.0
19|872|5.0|4.0
19|2888|5.0|3.0
19|1663|5.0|2.0
19|2964|5.0|5.0
19|630|5.0|1.0
19|1400|5.0|1.0
19|2487|1.0|1.0
19|992|4.0|4.0
19|1507|2.0|1.0
19|794|5.0|2.0
19|1730|4.0|0.8
19|1300|5.0|3.0
19|920|5.0|1.0
19|1357|5.0|3.0
19|2053|4.0|4.0
19|1027|5.0|2.0
19|1452|5.0|2.0
19|1403|5.0|3.0
19|2765|4.0|4.0
19|4455|5.0|4.0
19|4455|5.0|4.0
20|4796|5.0|0.7
20|2662|5.0|0.8
20|33|5.0|1.0
20|47|5.0|0.9
20|4204|5.0|0.7
20|1603|4.0|4.0
20|909|4.0|3.0
20|794|5.0|1.0
20|2765|4.0|4.0
20|4455|5.0|5.0
20|1742|4.0|2.0
20|946|5.0|0.5
20|1466|5.0|1.0
20|3882|5.0|3.0
20|1811|4.0|0.1
20|2567|3.0|0.1
21|33|5.0|1.0
21|631|5.0|0.1
21|78|5.0|2.0
21|2728|5.0|5.0
21|2964|5.0|5.0
21|1725|3.0|6.0
21|2084|5.0|1.0
21|650|5.0|1.0
21|170|5.0|4.0
21|537|3.0|2.0
21|794|5.0|2.0
21|872|5.0|4.0
21|427|5.0|3.0
21|5926|5.0|6.0
21|2765|3.0|5.0
21|2766|5.0|3.0
21|1730|4.0|1.0
21|4754|3.0|1.0
22|418|4.0|5.0
22|1783|4.0|2.0
22|2084|5.0|0.7
22|796|4.0|4.0
22|1403|5.0|3.0
22|1357|5.0|1.0
22|1725|3.0|6.0
22|2964|5.0|5.0
22|537|3.0|5.0
22|2518|5.0|2.0
22|584|4.0|3.0
22|872|5.0|4.0
22|992|5.0|4.0
22|1108|5.0|3.0
22|663|5.0|4.0
22|630|4.0|2.0
22|2446|2.0|3.0
22|1758|5.0|1.0
22|1728|5.0|3.0
22|1018|4.0|3.0
22|1702|5.0|4.0
22|991|5.0|0.3
22|309|3.0|4.0
22|2982|4.0|2.0
22|2765|3.0|5.0
22|1100|5.0|1.0
22|2766|4.0|3.0
22|1742|3.0|4.0
22|217|5.0|1.0
22|2567|5.0|3.0
22|1008|5.0|2.0
22|429|5.0|3.0
22|1187|5.0|2.0
22|2695|5.0|5.0
22|1452|5.0|3.0
22|1507|2.0|1.0
22|1260|5.0|1.0
22|1300|5.0|3.0
22|1663|5.0|2.0
22|695|5.0|3.0
